accession,GC_Content,tRNAs,Cgenes,Pgenes,CRISPR
NZ_CP036438,57.493,84,5117,99,2
NZ_CP064217,57.387,85,5612,188,0
NZ_CP022997,57.378,85,5198,104,0
NZ_CP030292,57.378,85,5716,147,0
NZ_CP032240,57.312,85,5604,196,0
NZ_CP021708,57.411,86,5621,177,2
NZ_CP016813,57.423,86,4937,115,2
NZ_CP031934,57.366,79,5563,251,0
NZ_CP027053,57.302,89,5745,176,0
NZ_CP020837,57.236,88,5588,153,0
NZ_CP032831,57.423,90,5282,163,0
NZ_CP020853,57.478,85,5408,328,2
NZ_CP064258,57.376,87,5751,187,0
NZ_CP024429,57.294,88,5437,134,1
NZ_CP061053,57.242,89,5359,123,1
NZ_FO834906,57.397,85,5187,216,1
NZ_CP061062,57.243,89,5351,120,1
NZ_CP053364,57.317,89,5620,190,0
NZ_CP022127,57.35,89,5407,152,2
NZ_CP053765,57.448,85,5538,186,2
NZ_CP063885,57.497,86,5056,118,1
NZ_CP063906,57.543,88,5047,116,1
NZ_CP063908,57.499,88,5167,154,2
NZ_CP073054,57.38,90,5689,140,0
NZ_CP082765,57.349,85,5652,179,0
NZ_CP041373,57.34,85,5660,184,0
NZ_CP034415,57.344,85,5578,164,0
NZ_CP045661,57.431,86,5128,128,0
NZ_CP022611,57.461,83,5356,218,2
NZ_CP020067,57.461,84,5497,171,2
NZ_CP063759,57.277,87,5779,187,0
NZ_CP025037,57.254,87,5770,203,0
NZ_CP061396,57.236,91,5531,124,0
NZ_CP064235,57.36,85,5698,189,0
NZ_CP064229,57.506,86,5277,159,2
NZ_CP064232,57.506,86,5275,162,2
NZ_CP028932,57.502,84,5378,162,2
NZ_CP053771,57.458,85,5366,195,2
NZ_CP082759,57.346,85,5646,182,0
NZ_CP016923,57.502,84,5367,178,2
NZ_CP025008,57.32,88,5500,114,0
NZ_CP048430,57.288,85,5298,107,0
NZ_CP082753,57.346,85,5641,181,0
NZ_CP024542,57.414,86,5212,92,0
NZ_CP024545,57.414,86,5212,92,0
NZ_CP033954,57.343,85,5647,178,0
NZ_CP034123,57.355,85,5607,179,0
NZ_CP052036,57.343,84,5065,240,0
NZ_CP063919,57.559,86,4937,150,1
NZ_CP061832,57.414,88,5238,137,0
NZ_CP065444,57.395,87,5500,128,0
NZ_OW967518,55.03,87,5837,101,3
NZ_AP021909,57.464,84,5115,117,0
NZ_CP030320,57.536,88,5196,129,0
NZ_CP025576,57.464,86,5175,136,0
NZ_CP026269,55.834,85,6521,186,1
NZ_CP017928,54.945,86,6125,113,0
NZ_CP028391,57.468,86,5379,146,0
NZ_CP040724,57.344,88,5634,320,1
NZ_CP016814,57.572,88,5171,154,1
NZ_CP043378,57.338,88,5308,120,1
NZ_CP019160,57.455,86,5271,117,1
NZ_CP064223,57.409,85,5634,187,0
NZ_CP030311,57.6,85,4989,135,0
NZ_CP021833,57.294,87,5735,131,0
NZ_CP015990,57.368,87,4955,159,2
NZ_CP063011,57.407,88,5294,91,0
NZ_CP021757,57.297,88,5382,138,1
NZ_CP066523,57.392,86,5582,148,0
NZ_CP060049,57.352,87,5290,159,0
NZ_CP047649,57.37,85,5166,104,0
NZ_CP034281,57.333,88,5422,130,0
NZ_CP066534,57.382,86,5557,166,0
NZ_CP024834,57.315,88,5367,146,1
NZ_CP063863,57.537,87,5077,123,0
NZ_CP025005,57.253,88,5400,121,0
NZ_CP030302,57.496,89,5759,205,0
NZ_CP064108,55.053,85,5827,128,3
NZ_CP054768,57.412,85,5605,170,0
NZ_AP021880,57.284,87,5068,110,1
NZ_CP063945,57.432,88,5343,346,0
NZ_CP054762,57.411,85,5606,172,0
NZ_CP054744,57.41,85,5605,173,0
NZ_CP054750,57.41,85,5606,173,0
NZ_CP030313,57.56,86,5053,119,0
NZ_CP026392,57.137,88,6055,193,1
NZ_CP047192,57.331,85,5733,182,0
NZ_CP030300,57.372,85,5399,134,0
NZ_CP054720,57.411,85,5606,172,0
NZ_CP054756,57.411,85,5596,167,0
NZ_CP054732,57.411,85,5595,168,0
NZ_CP054726,57.411,85,5604,174,0
NZ_CP054738,57.411,85,5602,163,0
NZ_CP054780,57.411,85,5605,172,0
NZ_CP054774,57.411,85,5602,175,0
NZ_CP027189,57.443,87,5019,109,1
NZ_CP020108,57.359,87,5464,136,0
NZ_CP025456,57.375,86,5591,171,0
NZ_CP024838,57.319,88,5386,153,1
NZ_AP018671,57.407,83,5609,152,0
NZ_CP039951,57.408,89,5244,122,0
NZ_CP032163,57.328,85,5597,218,0
NZ_AP023453,57.395,87,5362,207,0
NZ_CP021955,57.245,92,5430,126,0
NZ_CP036187,57.26,87,5215,206,0
NZ_CP039954,57.408,89,5245,116,0
NZ_CP034076,57.32,87,4946,111,2
NZ_CP034077,57.32,87,4946,111,2
NZ_CP019219,57.588,86,4910,99,0
NZ_CP050360,57.33,89,5540,172,1
NZ_CP036335,57.256,87,5421,224,2
NZ_CP018437,57.185,87,5536,135,0
NZ_AP019665,57.564,85,5238,136,0
NZ_CP063934,57.549,86,5011,103,1
NZ_CP031798,57.443,90,5080,114,0
NZ_CP063943,57.549,86,5014,98,1
NZ_CP040122,57.412,84,5462,168,0
NZ_CP035383,57.449,87,5371,156,2
NZ_CP022573,57.391,88,5390,104,0
NZ_CP028990,57.529,89,5113,186,0
NZ_CP040545,57.415,76,5599,186,0
NZ_CP056385,57.463,88,5242,137,0
NZ_CP056329,57.609,87,4988,77,1
NZ_CP051161,57.456,86,4963,79,0
NZ_CP020901,57.385,87,5794,150,0
NZ_CP056275,57.553,85,5168,101,0
NZ_CP008929,57.428,88,5514,194,2
NZ_CP039808,57.367,78,5660,154,0
NZ_CP061399,57.343,87,5416,131,0
NZ_CP024916,57.419,86,5300,150,1
NZ_CP012426,57.303,90,5343,142,1
NZ_CP061700,57.411,86,5380,147,1
NZ_CP016811,57.653,89,5191,208,0
NZ_CP063871,57.407,89,5285,164,0
NZ_CP093271,55.09,85,5579,93,0
NZ_CP047648,57.4,85,5136,102,0
NZ_CP023941,57.376,85,5612,171,0
NZ_CP027048,57.356,87,5409,116,0
NZ_CP024191,57.482,86,5446,167,0
NZ_CP024528,57.483,87,5446,159,0
NZ_CP024521,57.483,87,5446,159,0
NZ_CP044258,57.405,85,5347,144,0
NZ_CP026586,57.532,87,5471,171,0
NZ_CP065034,57.595,86,4889,155,0
NZ_CP021685,57.404,87,5423,125,0
NZ_CP024549,57.474,86,5420,160,0
NZ_CP024556,57.474,86,5445,164,0
NZ_CP035210,57.438,87,5329,113,1
NZ_CP064129,57.699,86,5012,145,0
NZ_CP028542,57.38,85,5433,128,0
NZ_CP030072,57.458,88,5148,112,2
NZ_CP024563,57.476,86,5415,154,0
NZ_CP024570,57.476,86,5416,154,0
NZ_CP056425,57.173,90,5598,170,0
NZ_CP041644,57.46,86,5107,118,0
NZ_CP064252,57.402,85,5588,143,0
NZ_CP028806,57.369,87,5600,135,0
NZ_AP022078,57.416,86,5590,147,0
NZ_CP050342,57.429,86,5600,144,0
NZ_CP050354,57.428,86,5628,154,0
NZ_CP031792,57.537,86,5081,103,0
NZ_CP015025,57.378,86,5180,146,1
NZ_CP050336,57.426,86,5626,154,0
NZ_CP032167,57.628,89,5331,149,0
NZ_LR133932,55.162,85,5216,160,0
NZ_CP063008,57.366,88,5365,95,0
NZ_CP012987,57.417,88,5383,157,0
NZ_CP050348,57.425,86,5611,158,0
NZ_CP026178,57.247,87,6072,280,0
NZ_CP012992,57.415,88,5356,154,0
NZ_CP040533,57.402,73,5594,176,0
NZ_CP036371,57.379,87,5545,125,0
NZ_CP031814,57.501,88,5069,106,0
NZ_AP022527,57.538,86,5070,126,0
NZ_CP065172,57.544,85,5584,171,0
NZ_CP026159,57.523,88,4943,87,0
NZ_CP045674,57.371,88,5493,182,2
NZ_CP023416,57.443,86,5641,204,0
NZ_CP040539,57.409,82,5590,179,0
NZ_LR890312,55.182,85,5627,58,3
NZ_CP032175,57.432,86,5167,126,0
NZ_CP015130,57.284,86,5388,171,0
NZ_CP023839,57.272,88,5296,113,1
NZ_CP028994,57.19,92,5981,133,0
NZ_CP029582,57.272,88,5298,112,1
NZ_CP021944,57.415,88,5438,140,1
NZ_CP021939,57.415,88,5312,121,1
NZ_CP032200,57.401,88,5395,178,0
NZ_CP058960,57.351,88,5546,108,0
NZ_CP036305,57.444,85,5588,166,0
NZ_CP025461,57.382,87,5628,192,0
NZ_CP047700,57.265,83,5777,198,1
NZ_CP018140,57.356,88,5599,134,1
NZ_CP018428,57.17,87,5497,141,0
NZ_CP018427,57.171,87,5495,137,0
NZ_CP022882,57.465,85,5163,99,0
NZ_CP015822,57.346,88,5574,127,0
NZ_CP026585,57.404,85,5371,120,0
NZ_CP049953,57.41,87,5262,104,0
NZ_CP046612,57.237,93,5643,181,0
NZ_CP047707,57.664,86,5114,105,0
NZ_CP063927,57.65,85,5158,202,0
NZ_CP050840,57.288,88,5051,104,0
NZ_CP018701,57.359,88,5589,129,1
NZ_CP024874,57.329,90,5519,224,2
NZ_CP034778,57.454,77,5224,156,0
NZ_OW969659,55.182,87,5641,126,1
NZ_CP026162,57.289,86,5135,113,0
NZ_CP042882,57.413,86,5174,99,0
NZ_CP018686,57.36,88,5596,126,1
NZ_CP018707,57.36,88,5602,127,1
NZ_CP018713,57.36,88,5594,130,1
NZ_CP018719,57.36,88,5603,128,1
NZ_CP018695,57.36,88,5603,125,1
NZ_CP017985,57.36,88,5546,129,1
NZ_CP056830,57.375,86,5158,108,1
NZ_CP063833,57.366,85,5581,174,0
NZ_CP030070,57.633,86,5179,135,0
NZ_CP065351,57.411,87,5126,137,0
NZ_CP033405,57.415,85,5535,151,0
NZ_CP063023,57.518,87,4888,80,0
NZ_CP014123,57.343,86,5118,147,2
NZ_CP024535,57.536,87,5387,158,0
NZ_CP050371,57.475,88,5545,156,0
NZ_CP041022,57.51,87,4854,235,0
NZ_CP065341,57.411,87,5137,126,0
NZ_CP045988,57.553,86,5383,130,0
NZ_CP064211,57.463,87,5625,189,0
NZ_CP043348,57.552,86,5382,124,0
NZ_CP015120,57.559,87,4927,99,0
NZ_CP063865,57.459,88,5058,134,0
NZ_CP029099,57.344,88,5602,130,0
NZ_CP015134,57.551,86,5033,99,2
NZ_CP061385,57.353,88,5546,112,0
NZ_CP028953,57.612,89,5205,199,0
NZ_CP031795,57.516,90,5059,113,1
NZ_CP029722,57.614,89,5222,197,0
NZ_CP066517,57.469,85,5615,170,0
NZ_CP064241,57.42,84,5562,186,0
NZ_CP059317,57.437,88,5303,108,1
NZ_CP064208,57.566,83,5200,146,1
NZ_CP035194,57.642,86,4859,97,0
NZ_CP062997,57.492,80,5150,164,2
NZ_CP036190,57.495,90,5729,328,0
NZ_CP054268,57.352,88,5510,128,0
NZ_CP024548,57.118,86,5035,85,0
NZ_AP018747,57.392,84,5154,293,2
NZ_CP066528,57.41,86,5571,166,0
NZ_CP043562,57.66,88,4600,235,0
NZ_CP057099,57.518,86,5066,112,0
NZ_CP021950,57.398,87,5535,125,0
NZ_CP053035,57.464,87,5238,199,2
NZ_CP045782,57.578,86,4868,92,0
NZ_CP040363,57.497,87,4904,117,0
NZ_CP072905,57.404,86,5566,156,1
NZ_CP040038,57.259,87,5330,87,0
NZ_CP040023,57.259,88,5611,106,0
NZ_CP060421,57.333,87,5563,182,1
NZ_CP050829,57.449,86,5159,162,0
NZ_CP026275,55.811,84,5987,143,0
NZ_CP063939,57.467,89,5186,191,0
NZ_CP057066,57.588,86,5273,109,0
NZ_CP013322,57.575,87,5618,161,1
NZ_CP021718,57.361,90,5596,113,0
NZ_CP050826,57.492,87,5032,153,0
NZ_CP056191,57.529,86,5245,154,0
NZ_CP018306,57.402,88,5029,107,0
NZ_CP024458,57.523,88,5315,136,1
NZ_CP035531,57.553,88,4881,84,0
NZ_CP056216,57.516,85,5068,76,0
NZ_CP015500,57.291,88,5722,206,1
NZ_CP031808,57.399,87,5248,117,0
NZ_CP024496,57.586,84,5079,91,0
NZ_CP030315,57.459,88,5063,100,1
NZ_CP044033,57.488,91,5125,86,0
NZ_CP029689,57.409,85,5550,179,0
NZ_CP035202,57.484,86,5334,159,1
NZ_CP060281,57.203,90,5433,187,0
NZ_CP022023,57.413,90,4939,133,2
NZ_CP043590,57.467,86,5183,105,0
NZ_CP026021,57.451,87,4986,146,2
NZ_CP072914,55.015,84,5283,79,0
NZ_CP057313,57.529,87,5354,121,0
NZ_CP046949,57.365,89,5555,149,2
NZ_CP031721,57.395,85,5357,127,0
NZ_CP042310,57.42,87,5070,93,0
NZ_CP042311,57.414,87,5060,99,0
NZ_CP050376,57.461,87,5555,191,2
NZ_CP056854,57.511,86,5183,170,0
NZ_CP010392,57.497,87,5370,139,0
NZ_CP056530,57.352,88,5302,191,0
NZ_CP011647,57.389,87,5342,114,0
NZ_CP033756,57.426,87,5254,208,0
NZ_CP026164,57.687,88,5107,136,0
NZ_CP043597,57.483,88,5420,145,1
NZ_OW969781,55.242,84,5218,70,3
NZ_CP014647,57.423,88,5466,112,0
NZ_CP047271,57.503,82,5307,130,1
NZ_CP039936,57.354,87,5296,109,0
NZ_CP039939,57.355,87,5298,108,0
NZ_CP039942,57.355,87,5299,107,0
NZ_CP039948,57.355,87,5299,107,0
NZ_CP039957,57.355,87,5299,107,0
NZ_CP039960,57.354,87,5299,107,0
NZ_CP049947,57.355,87,5283,106,0
NZ_CP039945,57.354,87,5299,109,0
NZ_CP021539,57.383,87,5544,130,0
NZ_CP040028,57.277,87,5562,112,0
NZ_CP037742,57.523,86,5281,159,2
NZ_LN824133,57.332,88,5687,152,1
NZ_CP025143,57.391,86,5437,131,0
NZ_CP063925,57.479,86,4929,134,1
NZ_CP049950,57.354,87,5279,106,0
NZ_CP040033,57.278,87,5562,113,0
NZ_CP034321,57.436,86,5117,114,0
NZ_CP028176,57.441,87,5154,143,2
NZ_CP023913,57.555,86,5390,174,1
NZ_CP018356,57.45,86,5310,126,0
NZ_CP018816,57.293,85,5530,133,0
NZ_CP006659,57.293,85,5530,127,0
NZ_CP056301,57.461,88,5299,110,0
NZ_CP028716,57.378,87,5202,131,2
NZ_CP021549,57.395,87,5604,140,0
NZ_CP018438,57.533,87,5303,113,0
NZ_CP026157,57.668,86,4854,105,0
NZ_CP025140,57.395,87,5443,130,0
NZ_CP036442,57.51,88,5282,111,1
NZ_CP050843,57.466,87,5176,157,0
NZ_CP031789,57.534,87,5147,115,0
NZ_CP018692,57.533,87,5234,109,0
NZ_CP021751,57.395,87,5600,135,0
NZ_CP025146,57.429,87,5445,132,0
NZ_AP018750,57.058,85,5309,152,2
NZ_AP018753,57.058,85,5308,149,2
NZ_CP021696,57.603,87,5405,195,1
NZ_CP025541,57.328,87,4963,105,2
NZ_CP061350,57.534,86,5262,142,0
NZ_CP061380,57.6,86,5156,137,0
NZ_CP063930,57.396,86,4992,141,2
NZ_CP064246,57.408,85,5736,192,0
NZ_CP057459,57.337,87,5277,115,1
NZ_CP042321,57.504,89,5006,100,0
NZ_CP056297,57.536,86,4922,101,0
NZ_CP057330,55.015,85,5778,94,2
NZ_CP059312,57.457,86,5473,135,1
NZ_CP026011,57.677,87,5031,143,1
NZ_CP063936,57.6,86,4839,228,0
NZ_CP030341,57.414,87,5472,115,0
NZ_CP042318,57.503,87,4991,106,0
NZ_CP036450,57.439,90,5341,133,0
NZ_CP025684,57.42,87,4970,109,0
NZ_AP023337,57.52,87,5676,147,2
NZ_OW967374,54.961,85,5858,133,2
NZ_CP021740,57.44,86,5294,105,1
NZ_CP042309,57.481,86,4955,129,0
NZ_CP017934,57.441,86,5295,104,1
NZ_CP089427,57.523,86,5455,142,0
NZ_CP054285,57.534,86,5222,212,0
NZ_CP029738,57.559,90,5269,182,0
NZ_CP049604,57.468,90,5217,127,0
NZ_CP070144,55.093,85,5481,94,0
NZ_CP055509,57.296,89,5747,194,1
NZ_CP025963,57.464,86,5467,128,1
NZ_CP065401,57.508,88,5128,144,0
NZ_CP056307,57.294,89,5656,175,1
NZ_CP014755,57.432,87,5182,114,1
NZ_CP032207,57.452,87,5649,148,0
NZ_CP066543,57.485,85,5335,142,0
NZ_CP014762,57.289,86,5469,166,0
NZ_CP043932,57.492,87,5508,295,0
NZ_CP016159,57.462,89,5108,107,0
NZ_CP015753,57.462,89,5111,103,0
NZ_CP033960,57.376,88,5645,158,0
NZ_CP056222,57.397,87,5482,140,0
NZ_CP035196,57.678,86,5002,145,1
NZ_CP046381,57.396,89,5477,163,2
NZ_CP046939,57.396,89,5446,202,2
NZ_CP016926,57.487,87,5085,142,2
NZ_CP090245,55.094,84,5320,68,1
NZ_CP025466,57.502,88,5548,168,0
NZ_CP034045,57.427,89,5482,164,2
NZ_CP043362,57.629,86,5089,102,0
NZ_CP063856,57.561,87,4951,92,0
NZ_CP013711,57.387,89,5040,170,2
NZ_CP011624,57.583,87,5554,160,1
NZ_CP063019,57.303,87,5317,109,0
NZ_CP020071,57.393,87,5420,125,0
NZ_CP015392,57.273,85,5736,175,0
NZ_CP056883,57.335,87,5230,144,2
NZ_CP045263,57.195,86,5476,165,0
NZ_CP027146,57.522,88,5603,151,0
NZ_CP025211,57.443,88,5077,404,1
NZ_CP023722,57.213,85,5813,173,0
NZ_CP056878,57.335,87,5231,142,2
NZ_CP061842,57.679,87,4951,114,0
NZ_CP040993,57.391,83,5113,218,0
NZ_CP031577,57.546,88,5622,315,0
NZ_CP049719,57.417,86,5336,95,0
NZ_CP050822,57.559,85,4976,116,0
NZ_CP018454,57.51,85,5438,137,0
NZ_CP026145,57.535,87,5345,281,0
NZ_CP049716,57.415,86,5377,106,0
NZ_CP063215,57.499,88,5208,179,2
NZ_CP065347,57.502,86,5285,119,0
NZ_CP065343,57.502,86,5284,123,0
NZ_CP057034,57.547,87,5177,141,0
NZ_CP024707,57.214,87,5208,163,0
NZ_CP026136,57.514,87,5547,158,0
NZ_CP022916,57.441,88,5217,124,0
NZ_CP022919,57.441,88,5229,111,0
NZ_CP022924,57.438,88,5209,171,0
NZ_CP026017,57.502,88,5359,140,1
NZ_CP057722,57.698,86,4959,125,0
NZ_AP023264,57.764,86,5358,180,0
NZ_CP015385,57.531,88,5641,166,0
NZ_CP022922,57.44,88,5213,111,0
NZ_CP063147,57.522,86,5572,108,1
NZ_CP042315,58.001,87,4619,161,0
NZ_CP026132,57.517,87,5633,162,0
NZ_CP026149,57.51,87,5614,156,0
NZ_CP064174,57.492,86,5349,126,0
NZ_CP026495,57.534,84,5000,84,0
NZ_CP011578,57.521,85,5278,118,0
NZ_LR134333,55.138,84,5272,76,0
NZ_CP028787,57.521,87,5156,119,0
NZ_CP021859,57.47,86,5446,147,0
NZ_CP063747,57.539,86,5546,104,1
NZ_CP021165,57.569,87,5037,120,0
NZ_CP034760,57.622,87,5101,84,0
NZ_CP027426,55.169,85,5449,94,3
NZ_CP042314,58.018,87,4611,97,0
NZ_CP028478,57.567,86,5050,168,0
NZ_CP032222,57.537,89,5446,113,2
NZ_CP026140,57.515,85,5486,143,0
NZ_CP070020,55.185,83,5480,121,0
NZ_CP042317,58.017,87,4608,105,0
NZ_CP028797,57.389,86,5299,125,0
NZ_CP033844,55.176,84,5326,70,3
NZ_CP043353,57.399,85,5352,136,0
NZ_CP042481,57.637,87,5284,202,1
NZ_CP069943,55.026,85,5438,100,0
NZ_CP023946,57.428,87,5500,152,0
NZ_CP063003,57.44,87,5022,124,0
NZ_CP036361,57.399,85,5350,131,0
NZ_CP028583,57.399,85,5369,138,0
NZ_CP044039,57.477,87,5285,140,1
NZ_CP033396,57.395,83,5313,137,0
NZ_CP028793,57.546,84,5636,165,1
NZ_CP036365,57.393,85,5385,141,0
NZ_OW968347,55.098,85,5521,83,0
NZ_OW968280,55.098,85,5522,83,0
NZ_CP026130,57.509,85,5427,132,0
NZ_CP009114,57.467,86,5207,122,0
NZ_CP047633,57.538,87,5448,153,0
NZ_CP054170,57.53,86,5114,123,0
NZ_CP027036,57.282,88,5568,139,0
NZ_CP009461,57.631,85,4788,83,0
NZ_CP052761,57.632,86,5107,139,0
NZ_CP029128,54.875,84,5463,114,1
NZ_CP050845,57.71,91,4910,143,1
NZ_CP042320,57.461,87,5015,93,0
NZ_CP069911,55.203,85,5689,109,1
NZ_CP042977,57.713,87,5018,171,0
NZ_AP022139,57.423,87,4976,118,0
NZ_CP062792,57.327,88,5112,154,0
NZ_CP020498,57.533,87,5233,122,0
NZ_CP042520,57.549,87,5208,111,0
NZ_CP018364,57.365,85,5515,146,0
NZ_CP027042,57.578,88,5412,152,1
NZ_CP047160,57.27,87,5385,164,0
NZ_CP037963,57.578,87,5251,141,0
NZ_CP027160,57.587,86,5287,131,0
NZ_CP034249,57.481,87,5049,118,0
NZ_CP027068,57.409,85,5262,126,0
NZ_CP026160,57.495,90,5003,111,0
NZ_CP030296,57.461,89,5285,132,0
NZ_CP018671,57.124,86,5419,162,0
NZ_AP023148,57.675,88,5013,128,0
NZ_CP018337,57.591,85,5513,192,0
NZ_CP051160,57.32,89,5157,104,0
NZ_CP015382,57.489,87,5093,126,1
NZ_CP039819,57.2,83,5566,165,0
NZ_CP063851,57.691,89,5304,191,0
NZ_CP063858,57.691,89,5308,179,0
NZ_CP063881,57.396,89,5347,155,0
NZ_CP046115,54.115,86,4839,101,3
NZ_CP054063,57.611,86,4946,125,0
NZ_CP031885,57.528,87,5140,124,0
NZ_CP056567,55.111,84,5728,140,0
NZ_CP054403,57.472,87,5107,144,1
NZ_CP054400,57.472,87,5097,143,1
NZ_CP054406,57.472,87,5093,146,1
NZ_CP065167,57.386,86,5212,148,0
NZ_AP021929,57.617,86,5058,117,0
NZ_CP031613,57.534,87,5194,197,0
NZ_CP045694,57.449,84,5152,186,1
NZ_CP032833,57.129,80,5100,355,2
NZ_CP035929,57.468,86,4851,97,2
NZ_CP047336,57.35,87,5442,193,0
NZ_CP031817,57.555,84,5136,193,1
NZ_LR134215,56.525,89,3739,74,1
NZ_LR133996,56.512,89,3623,204,1
NZ_CP051159,57.167,87,5810,158,0
NZ_CP018676,57.519,86,5118,133,0
NZ_CP024489,57.192,86,5308,146,0
NZ_CP042858,57.003,90,5495,183,0
NZ_CP018352,57.36,87,5284,161,0
NZ_CP079891,49.805,95,4848,140,2
NZ_CP057229,49.877,87,4454,124,2
NZ_CP057238,49.877,87,4454,124,2
NZ_CP015379,48.785,89,4044,70,2
