accession,domain,species,CN,range,average,range_no_cross,average_no_cross,range_normalized,average_normalized
NZ_CP071325,Bacteria,Photobacterium ganghwense strain C2.2,18,0.3415,0.020088235,0.9761,0.057417647,0.361588235,0.361588235
NZ_CP065041,Bacteria,Photobacterium damselae subsp. damselae strain AS-16-0963-3,18,0.4315,0.025382353,0.975,0.057352941,0.456882353,0.456882353
NZ_CP080291,Bacteria,Paeniclostridium sordellii strain FL-manatee,17,0.2648,0.01655,0.9696,0.0606,0.28135,0.28135
NZ_CP014150,Bacteria,Paeniclostridium sordellii strain AM370,17,0.268,0.01675,0.9689,0.06055625,0.28475,0.28475
NZ_CP044399,Bacteria,Moritella marina ATCC 15381 strain MP-1,17,0.2926,0.0182875,0.2926,0.0182875,0.3108875,0.3108875
NZ_CP094933,Bacteria,Paraclostridium bifermentans strain HD0315_2,17,0.3209,0.02005625,0.9557,0.05973125,0.34095625,0.34095625
NZ_CP090489,Bacteria,Photobacterium damselae subsp. damselae strain AS-15-3942-8,17,0.4122,0.0257625,0.9753,0.06095625,0.4379625,0.4379625
NZ_AP017312,Bacteria,Aneurinibacillus soli strain CB4,17,0.4225,0.02640625,0.9865,0.06165625,0.44890625,0.44890625
NZ_CP045427,Bacteria,Shewanella sp. YLB-09,17,0.5182,0.0323875,0.9822,0.0613875,0.5505875,0.5505875
NZ_CP018145,Bacteria,Brevibacillus formosus strain NF2,17,0.6204,0.038775,0.9618,0.0601125,0.659175,0.659175
NZ_CP015310,Bacteria,Bacillus thuringiensis serovar morrisoni str. 4AA1,16,0.2499,0.01666,0.8861,0.059073333,0.26656,0.26656
NZ_CP011151,Bacteria,Bacillus cereus strain CMCC P0021,16,0.2507,0.016713333,0.8921,0.059473333,0.267413333,0.267413333
NZ_CP024655,Bacteria,Bacillus cereus strain MLY1,16,0.2658,0.01772,0.9997,0.066646667,0.28352,0.28352
NZ_LS483250,Bacteria,Moritella yayanosii strain DB21MT 5,16,0.306,0.0204,0.306,0.0204,0.3264,0.3264
NZ_CP079737,Bacteria,Paraclostridium bifermentans strain DSM 14991,16,0.3228,0.02152,0.956,0.063733333,0.34432,0.34432
NZ_CP051144,Bacteria,Romboutsia sp. CE17,16,0.44,0.029333333,0.7868,0.052453333,0.469333333,0.469333333
NZ_CP015756,Bacteria,Clostridium estertheticum subsp. estertheticum strain DSM 8809,16,0.5283,0.03522,0.9651,0.06434,0.56352,0.56352
NZ_CP032527,Bacteria,Priestia megaterium NCT-2,16,0.5648,0.037653333,0.9274,0.061826667,0.602453333,0.602453333
NZ_CP069127,Bacteria,Brevibacillus choshinensis strain HPD31-SP3,16,0.6588,0.04392,0.9067,0.060446667,0.70272,0.70272
NZ_CP010086,Bacteria,Clostridium beijerinckii strain NCIMB 14988,16,0.6733,0.044886667,0.9767,0.065113333,0.718186667,0.718186667
NZ_CP011966,Bacteria,Clostridium beijerinckii NRRL B-598,16,0.7907,0.052713333,0.9871,0.065806667,0.843413333,0.843413333
NZ_CP073653,Bacteria,Clostridium beijerinckii strain DSM 791,16,0.7965,0.0531,0.986,0.065733333,0.8496,0.8496
NZ_CP053893,Bacteria,Clostridium beijerinckii strain ASCUSDY20,16,0.7977,0.05318,0.7977,0.05318,0.85088,0.85088
NZ_OW235315,Bacteria,Tepidibacter sp. 8C15b,15,0.2343,0.016735714,0.9489,0.067778571,0.251035714,0.251035714
NZ_CP016588,Bacteria,Bacillus thuringiensis strain KNU-07,15,0.2452,0.017514286,0.9958,0.071128571,0.262714286,0.262714286
NZ_CP040782,Bacteria,Bacillus thuringiensis strain HM-311,15,0.2468,0.017628571,0.886,0.063285714,0.264428571,0.264428571
NZ_CP063158,Bacteria,Bacillus cereus strain CF4-51,15,0.2484,0.017742857,0.8887,0.063478571,0.266142857,0.266142857
NZ_CP011153,Bacteria,Bacillus cereus strain CMCC P0011,15,0.2487,0.017764286,0.8918,0.0637,0.266464286,0.266464286
NZ_CP040334,Bacteria,Bacillus cereus strain DLOU-Changhai,15,0.2509,0.017921429,0.2509,0.017921429,0.268821429,0.268821429
NC_018693,Bacteria,Bacillus thuringiensis MC28,15,0.2522,0.018014286,0.2522,0.018014286,0.270214286,0.270214286
NZ_CP018931,Bacteria,Bacillus cereus strain ISSFR-3F,15,0.2538,0.018128571,0.995,0.071071429,0.271928571,0.271928571
NZ_CP018933,Bacteria,Bacillus cereus strain ISSFR-9F,15,0.2539,0.018135714,0.9949,0.071064286,0.272035714,0.272035714
NZ_CP043830,Bacteria,Bacillus sp. BS98,15,0.2542,0.018157143,0.8886,0.063471429,0.272357143,0.272357143
NC_022873,Bacteria,Bacillus thuringiensis YBT-1518,15,0.2847,0.020335714,0.8758,0.062557143,0.305035714,0.305035714
NZ_CP018866,Bacteria,Sutcliffiella cohnii strain DSM 6307,15,0.3985,0.028464286,0.9995,0.071392857,0.426964286,0.426964286
NZ_CP035457,Bacteria,Photobacterium damselae subsp. damselae strain KC-Na-NB1,15,0.4278,0.030557143,0.4278,0.030557143,0.458357143,0.458357143
NZ_CP021151,Bacteria,Photobacterium damselae subsp. damselae strain KC-Na-1,15,0.4281,0.030578571,0.9641,0.068864286,0.458678571,0.458678571
NZ_CP061861,Bacteria,Photobacterium damselae subsp. piscicida strain AS-16-0555-7,15,0.4334,0.030957143,0.9694,0.069242857,0.464357143,0.464357143
NZ_AP018045,Bacteria,Photobacterium damselae subsp. piscicida strain 91-197,15,0.4423,0.031592857,0.9983,0.071307143,0.473892857,0.473892857
NZ_CP078089,Bacteria,Allobaculum mucilyticum strain 128,15,0.5973,0.042664286,0.5973,0.042664286,0.639964286,0.639964286
NZ_CP041151,Bacteria,Shewanella sp. SNU WT4 strain SNU WT1,15,0.6134,0.043814286,0.8485,0.060607143,0.657214286,0.657214286
NZ_CP008852,Bacteria,Pelosinus sp. UFO1,15,0.6143,0.043878571,0.9993,0.071378571,0.658178571,0.658178571
NC_012491,Bacteria,Brevibacillus brevis NBRC 100599,15,0.655,0.046785714,0.8843,0.063164286,0.701785714,0.701785714
NZ_CP041767,Bacteria,Brevibacillus brevis strain B011,15,0.6731,0.048078571,0.8915,0.063678571,0.721178571,0.721178571
NZ_CP097770,Bacteria,Paenibacillus polymyxa strain R 4.5,15,0.7052,0.050371429,0.9371,0.066935714,0.755571429,0.755571429
NZ_CP025696,Bacteria,Paenibacillus sp. lzh-N1,15,0.7106,0.050757143,0.7398,0.052842857,0.761357143,0.761357143
NZ_CP020814,Bacteria,Alkalihalobacillus krulwichiae strain AM31D,15,0.7258,0.051842857,0.93,0.066428571,0.777642857,0.777642857
NZ_LN908213,Bacteria,Clostridium beijerinckii isolate C. beijerinckii DSM 6423,15,0.7935,0.056678571,0.9863,0.07045,0.850178571,0.850178571
NZ_CP073279,Bacteria,Clostridium beijerinckii strain CBEI,15,0.8008,0.0572,0.9868,0.070485714,0.858,0.858
NZ_AP022994,Bacteria,Bacillus cereus strain 30075,14,0.2324,0.017876923,0.8951,0.068853846,0.250276923,0.250276923
NZ_CP035987,Bacteria,Bacillus mycoides strain BPN29/1,14,0.2354,0.018107692,0.2354,0.018107692,0.253507692,0.253507692
NZ_CP036073,Bacteria,Bacillus wiedmannii strain JAS08/1,14,0.2362,0.018169231,0.8967,0.068976923,0.254369231,0.254369231
NZ_CP093325,Bacteria,Bacillus sp. N5-665 strain N5/665 plasmid p1,14,0.2368,0.018215385,0.8939,0.068761538,0.255015385,0.255015385
NZ_CP036014,Bacteria,Bacillus toyonensis strain BPN45/4,14,0.2372,0.018246154,0.2372,0.018246154,0.255446154,0.255446154
NZ_CP068719,Bacteria,Bacillus cereus strain 21155,14,0.2376,0.018276923,0.8906,0.068507692,0.255876923,0.255876923
NZ_CP032365,Bacteria,Bacillus wiedmannii strain SR52,14,0.239,0.018384615,0.8939,0.068761538,0.257384615,0.257384615
NZ_CP070339,Bacteria,Bacillus cereus strain VKM B-370,14,0.2395,0.018423077,0.2395,0.018423077,0.257923077,0.257923077
NZ_CP095874,Bacteria,Bacillus sp. PGP15,14,0.2409,0.018530769,0.8936,0.068738462,0.259430769,0.259430769
NZ_CP053955,Bacteria,Bacillus tropicus strain FDAARGOS_782,14,0.2414,0.018569231,0.2414,0.018569231,0.259969231,0.259969231
NZ_CP026607,Bacteria,Bacillus sp. DU-106,14,0.2414,0.018569231,0.8915,0.068576923,0.259969231,0.259969231
NZ_CP095767,Bacteria,Bacillus cereus strain CDHWZ7,14,0.2423,0.018638462,0.8878,0.068292308,0.260938462,0.260938462
NZ_CP009628,Bacteria,Bacillus cereus ATCC 4342,14,0.2423,0.018638462,0.2423,0.018638462,0.260938462,0.260938462
NZ_CP035999,Bacteria,Bacillus mycoides strain BPN37/1,14,0.2423,0.018638462,0.2423,0.018638462,0.260938462,0.260938462
NZ_CP045606,Bacteria,Bacillus cereus strain SB1,14,0.2424,0.018646154,0.8912,0.068553846,0.261046154,0.261046154
NZ_CP031071,Bacteria,Bacillus mycoides strain BPN401,14,0.2428,0.018676923,0.8923,0.068638462,0.261476923,0.261476923
NZ_CP020743,Bacteria,Bacillus mycoides strain Gnyt1,14,0.2429,0.018684615,0.8952,0.068861538,0.261584615,0.261584615
NZ_CP023245,Bacteria,Bacillus cereus strain HBL-AI,14,0.2431,0.0187,0.8916,0.068584615,0.2618,0.2618
NZ_CP016595,Bacteria,Bacillus cereus strain K8,14,0.2435,0.018730769,0.8905,0.0685,0.262230769,0.262230769
AP022643,Bacteria,Bacillus wiedmannii PL1 DNA,14,0.2436,0.018738462,0.2436,0.018738462,0.262338462,0.262338462
NZ_CP036090,Bacteria,Bacillus toyonensis strain JAS13/1,14,0.2438,0.018753846,0.8929,0.068684615,0.262553846,0.262553846
NZ_CP014282,Bacteria,Bacillus thuringiensis strain Bt185,14,0.2438,0.018753846,0.8912,0.068553846,0.262553846,0.262553846
NZ_CP036111,Bacteria,Bacillus toyonensis strain JAS411,14,0.2439,0.018761538,0.8929,0.068684615,0.262661538,0.262661538
NZ_CP026678,Bacteria,Bacillus cereus strain TG1-6,14,0.2441,0.018776923,0.2441,0.018776923,0.262876923,0.262876923
NZ_CP036064,Bacteria,Bacillus mycoides strain JAS06/3,14,0.2441,0.018776923,0.8915,0.068576923,0.262876923,0.262876923
NZ_CP017234,Bacteria,Bacillus cereus strain FORC_048,14,0.2442,0.018784615,0.8903,0.068484615,0.262984615,0.262984615
NZ_CP020383,Bacteria,Bacillus cereus strain FORC60,14,0.2443,0.018792308,0.8895,0.068423077,0.263092308,0.263092308
NZ_CP009686,Bacteria,Bacillus cereus strain FORC_005,14,0.2447,0.018823077,0.8896,0.068430769,0.263523077,0.263523077
NZ_CP040344,Bacteria,Bacillus albus strain DLOU-Yingkou,14,0.2448,0.018830769,0.2448,0.018830769,0.263630769,0.263630769
NZ_CP040342,Bacteria,Bacillus cereus strain DLOU-Weihai,14,0.2449,0.018838462,0.2449,0.018838462,0.263738462,0.263738462
NZ_CP029454,Bacteria,Bacillus cereus strain FORC087,14,0.245,0.018846154,0.89,0.068461538,0.263846154,0.263846154
NZ_CP065509,Bacteria,Bacillus sp. N447-1,14,0.245,0.018846154,0.245,0.018846154,0.263846154,0.263846154
NZ_CP036070,Bacteria,Bacillus wiedmannii strain JAS07/5,14,0.245,0.018846154,0.8909,0.068530769,0.263846154,0.263846154
NC_011725,Bacteria,Bacillus cereus B4264,14,0.2453,0.018869231,0.8915,0.068576923,0.264169231,0.264169231
NZ_CP094624,Bacteria,Bacillus thuringiensis strain LX43,14,0.2454,0.018876923,0.2454,0.018876923,0.264276923,0.264276923
NC_010184,Bacteria,Bacillus mycoides KBAB4,14,0.2456,0.018892308,0.8911,0.068546154,0.264492308,0.264492308
NZ_CP046398,Bacteria,Bacillus sp. A260,14,0.2456,0.018892308,0.8902,0.068476923,0.264492308,0.264492308
NZ_CP083134,Bacteria,Bacillus thuringiensis strain BMP144,14,0.2458,0.018907692,0.2458,0.018907692,0.264707692,0.264707692
NC_018508,Bacteria,Bacillus thuringiensis HD-789,14,0.2458,0.018907692,0.9601,0.073853846,0.264707692,0.264707692
NZ_CP092833,Bacteria,Bacillus mycoides strain LX30,14,0.2458,0.018907692,0.8926,0.068661538,0.264707692,0.264707692
NZ_CP097351,Bacteria,Bacillus cereus strain DQ01,14,0.2458,0.018907692,0.8888,0.068369231,0.264707692,0.264707692
NZ_CP039721,Bacteria,Bacillus thuringiensis strain BT-59,14,0.2458,0.018907692,0.2458,0.018907692,0.264707692,0.264707692
NZ_CP036052,Bacteria,Bacillus toyonensis strain JAS03/3,14,0.246,0.018923077,0.893,0.068692308,0.264923077,0.264923077
NZ_CP036099,Bacteria,Bacillus mycoides strain JAS23/1,14,0.246,0.018923077,0.8902,0.068476923,0.264923077,0.264923077
NZ_CP035962,Bacteria,Bacillus mycoides strain BPN07/3,14,0.246,0.018923077,0.8899,0.068453846,0.264923077,0.264923077
NZ_CP030982,Bacteria,Bacillus cereus strain ZB201708,14,0.2461,0.018930769,0.9885,0.076038462,0.265030769,0.265030769
NZ_CP045030,Bacteria,Bacillus thuringiensis strain JW-1,14,0.2461,0.018930769,0.8887,0.068361538,0.265030769,0.265030769
NZ_CP090421,Bacteria,Bacillus cereus strain NR1,14,0.2463,0.018946154,0.8888,0.068369231,0.265246154,0.265246154
NZ_CP036145,Bacteria,Bacillus mycoides strain JAS94/5,14,0.2465,0.018961538,0.889,0.068384615,0.265461538,0.265461538
NZ_CP071808,Bacteria,Bacillus mycoides strain JAS014,14,0.2465,0.018961538,0.8907,0.068515385,0.265461538,0.265461538
NZ_CP095377,Bacteria,Bacillus cereus strain SEM-15,14,0.2466,0.018969231,0.8899,0.068453846,0.265569231,0.265569231
NZ_CP044978,Bacteria,Bacillus thuringiensis strain BT62,14,0.2467,0.018976923,0.2467,0.018976923,0.265676923,0.265676923
NZ_CP094455,Bacteria,Bacillus sp. ZJS3,14,0.2467,0.018976923,0.8894,0.068415385,0.265676923,0.265676923
NZ_CP020437,Bacteria,Bacillus sp. FDAARGOS_235,14,0.2468,0.018984615,0.2468,0.018984615,0.265784615,0.265784615
NZ_CP031443,Bacteria,Bacillus mobilis strain ML-A2C4,14,0.2469,0.018992308,0.8895,0.068423077,0.265892308,0.265892308
NZ_CP036004,Bacteria,Bacillus mycoides strain BPN37/2,14,0.2471,0.019007692,0.8892,0.0684,0.266107692,0.266107692
NZ_CP053954,Bacteria,Bacillus cereus strain FDAARGOS_798,14,0.2471,0.019007692,0.2471,0.019007692,0.266107692,0.266107692
NZ_CP053951,Bacteria,Bacillus cereus strain FDAARGOS_799,14,0.2471,0.019007692,0.2471,0.019007692,0.266107692,0.266107692
NZ_CP009968,Bacteria,Bacillus cereus E33L,14,0.2472,0.019015385,0.9804,0.075415385,0.266215385,0.266215385
NZ_CP085501,Bacteria,Bacillus cereus strain A24,14,0.2475,0.019038462,0.2475,0.019038462,0.266538462,0.266538462
NZ_CP015727,Bacteria,Bacillus cereus strain A1,14,0.2475,0.019038462,0.9613,0.073946154,0.266538462,0.266538462
NZ_CP036094,Bacteria,Bacillus toyonensis strain JAS22/1,14,0.2476,0.019046154,0.8935,0.068730769,0.266646154,0.266646154
NZ_AP022981,Bacteria,Bacillus cereus strain 30048,14,0.2478,0.019061538,0.8871,0.068238462,0.266861538,0.266861538
AP023014,Bacteria,Bacillus cereus 30102 DNA,14,0.2479,0.019069231,0.8918,0.0686,0.266969231,0.266969231
NZ_CP072774,Bacteria,Bacillus cereus strain BC33,14,0.2481,0.019084615,0.8882,0.068323077,0.267184615,0.267184615
NZ_CP064875,Bacteria,Bacillus toyonensis strain P18,14,0.2482,0.019092308,0.8917,0.068592308,0.267292308,0.267292308
NZ_CP014486,Bacteria,Bacillus cereus strain FORC021,14,0.2482,0.019092308,0.887,0.068230769,0.267292308,0.267292308
NZ_CP035974,Bacteria,Bacillus mycoides strain BPN102,14,0.2483,0.0191,0.8881,0.068315385,0.2674,0.2674
NZ_AP022921,Bacteria,Bacillus cereus strain J1,14,0.2485,0.019115385,0.8873,0.068253846,0.267615385,0.267615385
NZ_CP011145,Bacteria,Bacillus cereus strain FORC_013,14,0.2485,0.019115385,0.8881,0.068315385,0.267615385,0.267615385
NZ_CP009720,Bacteria,Bacillus thuringiensis strain HD682,14,0.2486,0.019123077,0.8903,0.068484615,0.267723077,0.267723077
NZ_AP022975,Bacteria,Bacillus cereus strain 30040,14,0.2487,0.019130769,0.8872,0.068246154,0.267830769,0.267830769
NZ_AP022978,Bacteria,Bacillus cereus strain 30043,14,0.2487,0.019130769,0.8872,0.068246154,0.267830769,0.267830769
NZ_AP022952,Bacteria,Bacillus cereus strain J39,14,0.2487,0.019130769,0.8872,0.068246154,0.267830769,0.267830769
NZ_AP022956,Bacteria,Bacillus cereus strain J51,14,0.2487,0.019130769,0.8871,0.068238462,0.267830769,0.267830769
NZ_CP068717,Bacteria,Bacillus cereus strain CH,14,0.2488,0.019138462,0.8918,0.0686,0.267938462,0.267938462
NZ_CP063975,Bacteria,Bacillus cereus strain N435-1,14,0.2489,0.019146154,0.2489,0.019146154,0.268046154,0.268046154
NZ_CP076653,Bacteria,Bacillus sp. NP247,14,0.2489,0.019146154,0.2489,0.019146154,0.268046154,0.268046154
NZ_CP068724,Bacteria,Bacillus cereus strain AFA01,14,0.249,0.019153846,0.8877,0.068284615,0.268153846,0.268153846
NZ_CP053938,Bacteria,Bacillus thuringiensis strain FDAARGOS_792,14,0.249,0.019153846,0.249,0.019153846,0.268153846,0.268153846
NZ_CP072057,Bacteria,Bacillus mycoides strain JAS12/5,14,0.249,0.019153846,0.8899,0.068453846,0.268153846,0.268153846
NZ_CP035994,Bacteria,Bacillus mycoides strain BPN36/2,14,0.2492,0.019169231,0.8893,0.068407692,0.268369231,0.268369231
NZ_CP009369,Bacteria,Bacillus cereus strain FM1,14,0.2493,0.019176923,0.8905,0.0685,0.268476923,0.268476923
NZ_CP018935,Bacteria,Bacillus cereus strain JEM-2,14,0.2494,0.019184615,0.2494,0.019184615,0.268584615,0.268584615
NZ_CP065739,Bacteria,Bacillus tropicus strain FDAARGOS_920,14,0.2494,0.019184615,0.2494,0.019184615,0.268584615,0.268584615
NZ_CP036034,Bacteria,Bacillus mycoides strain BPN57/2,14,0.2494,0.019184615,0.8889,0.068376923,0.268584615,0.268584615
NZ_CP017060,Bacteria,Bacillus cereus strain FORC_047,14,0.2494,0.019184615,0.8876,0.068276923,0.268584615,0.268584615
NZ_AP022970,Bacteria,Bacillus cereus strain J75,14,0.2494,0.019184615,0.8869,0.068223077,0.268584615,0.268584615
NZ_CP036043,Bacteria,Bacillus mycoides strain BPN58/4,14,0.2496,0.0192,0.888,0.068307692,0.2688,0.2688
NZ_CP036084,Bacteria,Bacillus mycoides strain JAS1004,14,0.2496,0.0192,0.8927,0.068669231,0.2688,0.2688
NZ_AP023000,Bacteria,Bacillus cereus strain 30077,14,0.2497,0.019207692,0.8872,0.068246154,0.268907692,0.268907692
NZ_CP053972,Bacteria,Bacillus thuringiensis strain FDAARGOS_796,14,0.2497,0.019207692,0.2497,0.019207692,0.268907692,0.268907692
NZ_CP036017,Bacteria,Bacillus mycoides strain BPN51/1,14,0.2498,0.019215385,0.8885,0.068346154,0.269015385,0.269015385
NZ_CP026608,Bacteria,Bacillus anthracis strain HDZK-BYSB7,14,0.2498,0.019215385,0.2498,0.019215385,0.269015385,0.269015385
NZ_CP009335,Bacteria,Bacillus thuringiensis strain HD1011,14,0.2498,0.019215385,0.2498,0.019215385,0.269015385,0.269015385
NZ_CP010088,Bacteria,Bacillus thuringiensis strain 97-27,14,0.2499,0.019223077,0.2499,0.019223077,0.269123077,0.269123077
NZ_CP042270,Bacteria,Bacillus thuringiensis strain GA-A07,14,0.25,0.019230769,0.25,0.019230769,0.269230769,0.269230769
NZ_CP040336,Bacteria,Bacillus luti strain FJ,14,0.25,0.019230769,0.8885,0.068346154,0.269230769,0.269230769
NC_005957,Bacteria,[Bacillus thuringiensis] serovar konkukian str. 97-27,14,0.25,0.019230769,0.888,0.068307692,0.269230769,0.269230769
NZ_CP032608,Bacteria,Bacillus thuringiensis strain QZL38,14,0.2501,0.019238462,0.2501,0.019238462,0.269338462,0.269338462
NZ_CP049978,Bacteria,Bacillus sp. RZ2MS9,14,0.2502,0.019246154,0.8881,0.068315385,0.269446154,0.269446154
NZ_CP036040,Bacteria,Bacillus mycoides strain BPN573,14,0.2503,0.019253846,0.8874,0.068261538,0.269553846,0.269553846
NZ_CP043966,Bacteria,Bacillus cereus strain H2,14,0.2506,0.019276923,0.8813,0.067792308,0.269876923,0.269876923
NZ_CP078081,Bacteria,Bacillus tropicus strain EMB20,14,0.2506,0.019276923,0.8915,0.068576923,0.269876923,0.269876923
NZ_CP036085,Bacteria,Bacillus mycoides strain JAS12/5,14,0.2506,0.019276923,0.2506,0.019276923,0.269876923,0.269876923
NZ_CP053289,Bacteria,Bacillus cereus strain WPySW2,14,0.2508,0.019292308,0.99,0.076153846,0.270092308,0.270092308
NZ_CP031643,Bacteria,Bacillus anthracis strain MCCC 1A01412,14,0.2508,0.019292308,0.8893,0.068407692,0.270092308,0.270092308
NZ_CP093928,Bacteria,Bacillus cereus strain AH7-7,14,0.2508,0.019292308,0.8869,0.068223077,0.270092308,0.270092308
NZ_CP093291,Bacteria,Bacillus mycoides strain DSM 2048,14,0.2509,0.0193,0.2509,0.0193,0.2702,0.2702
NZ_CP036121,Bacteria,Bacillus mycoides strain JAS635,14,0.251,0.019307692,0.9524,0.073261538,0.270307692,0.270307692
NZ_AP024504,Bacteria,Bacillus cereus strain HT18,14,0.2512,0.019323077,0.8867,0.068207692,0.270523077,0.270523077
NZ_CP036132,Bacteria,Bacillus mycoides strain JAS823,14,0.2513,0.019330769,0.8888,0.068369231,0.270630769,0.270630769
NZ_CP065650,Bacteria,Bacillus cereus strain FDAARGOS_918,14,0.2514,0.019338462,0.2514,0.019338462,0.270738462,0.270738462
NC_012472,Bacteria,Bacillus cereus 03BB102,14,0.2514,0.019338462,0.8855,0.068115385,0.270738462,0.270738462
NZ_CP009318,Bacteria,Bacillus cereus 03BB102,14,0.2514,0.019338462,0.8854,0.068107692,0.270738462,0.270738462
NZ_CP039269,Bacteria,Bacillus cereus strain MH19,14,0.2515,0.019346154,0.8881,0.068315385,0.270846154,0.270846154
NZ_CP036356,Bacteria,Bacillus sp. SYJ,14,0.2515,0.019346154,0.2515,0.019346154,0.270846154,0.270846154
NZ_CP081872,Bacteria,Bacillus toyonensis strain UTDF19-29B,14,0.2516,0.019353846,0.8914,0.068569231,0.270953846,0.270953846
NC_014171,Bacteria,Bacillus thuringiensis BMB171,14,0.2516,0.019353846,0.8844,0.068030769,0.270953846,0.270953846
NZ_CP035984,Bacteria,Bacillus mycoides strain BPN211,14,0.2519,0.019376923,0.8879,0.0683,0.271276923,0.271276923
NZ_AP022946,Bacteria,Bacillus cereus strain J10,14,0.252,0.019384615,0.8862,0.068169231,0.271384615,0.271384615
NZ_CP031062,Bacteria,Bacillus sp. AR4-2,14,0.2521,0.019392308,0.8844,0.068030769,0.271492308,0.271492308
NZ_CP053656,Bacteria,Bacillus cereus strain CTMA_1571,14,0.2522,0.0194,0.888,0.068307692,0.2716,0.2716
NZ_CP031065,Bacteria,Bacillus sp. SH8-8,14,0.2522,0.0194,0.8844,0.068030769,0.2716,0.2716
NZ_CP053931,Bacteria,Bacillus cereus strain FDAARGOS_797,14,0.2524,0.019415385,0.2524,0.019415385,0.271815385,0.271815385
NZ_CP022445,Bacteria,Bacillus cereus C1L,14,0.2526,0.019430769,0.8921,0.068623077,0.272030769,0.272030769
NZ_CP024771,Bacteria,Bacillus thuringiensis LM1212,14,0.2526,0.019430769,0.2526,0.019430769,0.272030769,0.272030769
NZ_CP012099,Bacteria,Bacillus thuringiensis strain HS18-1,14,0.2528,0.019446154,0.8855,0.068115385,0.272246154,0.272246154
NZ_CP020723,Bacteria,Bacillus thuringiensis strain BM-BT15426,14,0.2529,0.019453846,0.8856,0.068123077,0.272353846,0.272353846
NZ_AP022986,Bacteria,Bacillus cereus strain 30052,14,0.2531,0.019469231,0.8873,0.068253846,0.272569231,0.272569231
NZ_CP035965,Bacteria,Bacillus mycoides strain BPN09/1,14,0.2532,0.019476923,0.8848,0.068061538,0.272676923,0.272676923
NZ_CP007626,Bacteria,Bacillus pseudomycoides strain 219298,14,0.2533,0.019484615,0.2533,0.019484615,0.272784615,0.272784615
NZ_CP009651,Bacteria,Bacillus pseudomycoides strain BTZ,14,0.2533,0.019484615,0.2533,0.019484615,0.272784615,0.272784615
NZ_CP072769,Bacteria,Bacillus cereus strain BC07,14,0.2534,0.019492308,0.8877,0.068284615,0.272892308,0.272892308
NZ_AP022874,Bacteria,Bacillus cereus strain MRY14-0057,14,0.2534,0.019492308,0.8875,0.068269231,0.272892308,0.272892308
NZ_CP035997,Bacteria,Bacillus mycoides strain BPN36/3,14,0.2534,0.019492308,0.2534,0.019492308,0.272892308,0.272892308
NZ_CP072065,Bacteria,Bacillus mycoides strain BPN29/1,14,0.2535,0.0195,0.8882,0.068323077,0.273,0.273
